Status	Title	URL	Starts	Due	Sub-issues progress	Type	Assignees	Reviewers	Labels	Linked pull requests	Milestone	Sprint	Parent issue	Phase
Pending	Phase: Project Initiation	https://github.com/Kin230k/Template/issues/1	Jan 1, 2025	Jan 15, 2025	0 / 8 (0%)	Phase			Task					
Pending	Phase: Communication Plan	https://github.com/Kin230k/Template/issues/2	Jan 16, 2025	Jan 16, 2025	0 / 3 (0%)	Phase			Task		Communication Plan Finalized & Approved			
Pending	Phase: Requirements Gathering & Analysis	https://github.com/Kin230k/Template/issues/3	Jan 2, 2025	Jan 14, 2025	0 / 8 (0%)	Phase			Task					
Pending	Phase: Sprint Planning	https://github.com/Kin230k/Template/issues/4	Jan 15, 2025	Jan 16, 2025	0 / 7 (0%)	Phase			Task		Sprint Plan Approved			
Pending	Phase: System Architecture	https://github.com/Kin230k/Template/issues/5	Jan 17, 2025	Jan 28, 2025	0 / 9 (0%)	Phase			Task		All Architecture Diagrams Completed			
Pending	Phase: UI/UX Designing	https://github.com/Kin230k/Template/issues/6	Jan 29, 2025	Feb 8, 2025	0 / 9 (0%)	Phase			Task					
Pending	Phase: Development	https://github.com/Kin230k/Template/issues/7	Jan 29, 2025	Mar 5, 2025	0 / 12 (0%)	Phase			Task					
Pending	Phase: Testing & Quality Assurance	https://github.com/Kin230k/Template/issues/8	Mar 6, 2025	Mar 11, 2025	0 / 9 (0%)	Phase			Task		System Passed QA Testing			
Pending	Phase: Deployment	https://github.com/Kin230k/Template/issues/9	Mar 12, 2025	Mar 17, 2025	0 / 10 (0%)	Phase			Task					
Pending	Phase: Status Reporting	https://github.com/Kin230k/Template/issues/10	Mar 15, 2025	Mar 23, 2025	0 / 11 (0%)	Phase			Task					
Pending	Phase: Sprint Retrospective	https://github.com/Kin230k/Template/issues/11	Mar 16, 2025	Mar 19, 2025	0 / 6 (0%)	Phase			Task					
Pending	Phase: Maintenance & Support	https://github.com/Kin230k/Template/issues/12	Mar 17, 2025	Mar 17, 2025	0 / 2 (0%)	Phase			Task					
Pending	Project Business Case	https://github.com/Kin230k/Template/issues/13	Jan 1, 2025	Jan 1, 2025		Planning			Task		Stakeholder & Scope Alignment Confirmed	Development	https://github.com/Kin230k/Template/issues/1	Project Initiation
Pending	Project Charter	https://github.com/Kin230k/Template/issues/14	Jan 2, 2025	Jan 2, 2025		Planning			Task		Project Charter Approved	Development	https://github.com/Kin230k/Template/issues/1	Project Initiation
Pending	Stakeholder Register	https://github.com/Kin230k/Template/issues/15	Jan 2, 2025	Jan 2, 2025		Planning			Task		Project Charter Approved	Development	https://github.com/Kin230k/Template/issues/1	Project Initiation
Pending	Project Scope Statement	https://github.com/Kin230k/Template/issues/16	Jan 3, 2025	Jan 5, 2025		Planning			Task		Project Charter Approved	Development	https://github.com/Kin230k/Template/issues/1	Project Initiation
Pending	Requirements Specification	https://github.com/Kin230k/Template/issues/17	Jan 6, 2025	Jan 9, 2025		Planning			Task		Project Charter Approved	Development	https://github.com/Kin230k/Template/issues/1	Project Initiation
Pending	Project Management Plan	https://github.com/Kin230k/Template/issues/18	Jan 10, 2025	Jan 10, 2025		Planning			Task		Stakeholder & Scope Alignment Confirmed	Development	https://github.com/Kin230k/Template/issues/1	Project Initiation
Pending	Release Plan - Roadmap	https://github.com/Kin230k/Template/issues/19	Jan 11, 2025	Jan 11, 2025		Planning			Task		Project Charter Approved	Development	https://github.com/Kin230k/Template/issues/1	Project Initiation
Pending	Resource & Team Plan (RACI Matrix)	https://github.com/Kin230k/Template/issues/20	Jan 11, 2025	Jan 11, 2025		Planning			Task		Project Charter Approved	Development	https://github.com/Kin230k/Template/issues/1	Project Initiation
Pending	QA and Testing Plan	https://github.com/Kin230k/Template/issues/21	Jan 12, 2025	Jan 12, 2025		Planning			Task		Kickoff Meeting Completed	Development	https://github.com/Kin230k/Template/issues/2	Project Initiation
Pending	Risk Management Plan	https://github.com/Kin230k/Template/issues/22	Jan 13, 2025	Jan 14, 2025		Planning			Task		Kickoff Meeting Completed	Development	https://github.com/Kin230k/Template/issues/2	Project Initiation
Pending	Change Management Plan	https://github.com/Kin230k/Template/issues/23	Jan 15, 2025	Jan 15, 2025		Planning			Task		Kickoff Meeting Completed	Development	https://github.com/Kin230k/Template/issues/2	Project Initiation
Pending	Set Meeting Cadence and Types	https://github.com/Kin230k/Template/issues/24	Jan 16, 2025	Jan 16, 2025		Planning			Task			Development	https://github.com/Kin230k/Template/issues/3	Communication Plan
Pending	Set Escalation Procedures	https://github.com/Kin230k/Template/issues/25	Jan 16, 2025	Jan 16, 2025		Planning			Task			Development	https://github.com/Kin230k/Template/issues/3	Communication Plan
Pending	Assign Meeting Facilitators	https://github.com/Kin230k/Template/issues/26	Jan 16, 2025	Jan 16, 2025		Planning			Task			Development	https://github.com/Kin230k/Template/issues/3	Communication Plan
Pending	Collect Business Requirements	https://github.com/Kin230k/Template/issues/28	Jan 4, 2025	Jan 6, 2025		Management			Task			Development	https://github.com/Kin230k/Template/issues/3	Requirements Gathering & Analysis
